Size,Method,Threads,Time_Sec
256,NumpyStrided,66,0.000317
256,Morton,66,0.000307
256,Tiled,66,0.000191
256,RowMajor,67,0.000214
256,ColMajor,67,0.000485
256,NumpyStrided,67,0.000197
256,Morton,67,0.000470
256,Tiled,67,0.000206
256,RowMajor,68,0.000178
256,ColMajor,68,0.000508
256,NumpyStrided,68,0.000193
256,Morton,68,0.000475
256,Tiled,68,0.000135
256,RowMajor,69,0.000087
256,ColMajor,69,0.000517
256,NumpyStrided,69,0.000112
256,Morton,69,0.000266
256,Tiled,69,0.000109
256,RowMajor,70,0.000088
256,ColMajor,70,0.000474
256,NumpyStrided,70,0.000108
256,Morton,70,0.000269
256,Tiled,70,0.000099
256,RowMajor,71,0.000087
256,ColMajor,71,0.000473
256,NumpyStrided,71,0.000105
256,Morton,71,0.000261
256,Tiled,71,0.000106
256,RowMajor,72,0.000085
256,ColMajor,72,0.000463
256,NumpyStrided,72,0.000105
256,Morton,72,0.000298
256,Tiled,72,0.000125
256,RowMajor,73,0.000099
256,ColMajor,73,0.000483
256,NumpyStrided,73,0.000109
256,Morton,73,0.000278
256,Tiled,73,0.000100
256,RowMajor,74,0.000087
256,ColMajor,74,0.000542
256,NumpyStrided,74,0.000146
256,Morton,74,0.000427
256,Tiled,74,0.000176
256,RowMajor,75,0.000145
256,ColMajor,75,0.000563
256,NumpyStrided,75,0.000108
256,Morton,75,0.000270
256,Tiled,75,0.000102
256,RowMajor,76,0.000087
256,ColMajor,76,0.000477
256,NumpyStrided,76,0.000126
256,Morton,76,0.000300
256,Tiled,76,0.000098
256,RowMajor,77,0.000084
256,ColMajor,77,0.000489
256,NumpyStrided,77,0.000107
256,Morton,77,0.000278
256,Tiled,77,0.000143
256,RowMajor,78,0.000085
256,ColMajor,78,0.000451
256,NumpyStrided,78,0.000105
256,Morton,78,0.000261
256,Tiled,78,0.000138
256,RowMajor,79,0.000085
256,ColMajor,79,0.000470
256,NumpyStrided,79,0.000110
256,Morton,79,0.000263
256,Tiled,79,0.000115
256,RowMajor,80,0.000085
256,ColMajor,80,0.002452
256,NumpyStrided,80,0.000123
256,Morton,80,0.000327
256,Tiled,80,0.000272
256,RowMajor,81,0.000156
256,ColMajor,81,0.000753
256,NumpyStrided,81,0.000185
256,Morton,81,0.000406
256,Tiled,81,0.000168
256,RowMajor,82,0.000140
256,ColMajor,82,0.000522
256,NumpyStrided,82,0.000172
256,Morton,82,0.000300
256,Tiled,82,0.000101
256,RowMajor,83,0.000116
256,ColMajor,83,0.000545
256,NumpyStrided,83,0.000142
256,Morton,83,0.000381
256,Tiled,83,0.000155
256,RowMajor,84,0.000113
256,ColMajor,84,0.000458
256,NumpyStrided,84,0.000111
256,Morton,84,0.000380
256,Tiled,84,0.000108
256,RowMajor,85,0.000092
256,ColMajor,85,0.000529
256,NumpyStrided,85,0.000150
256,Morton,85,0.000441
256,Tiled,85,0.000178
256,RowMajor,86,0.000149
256,ColMajor,86,0.000527
256,NumpyStrided,86,0.000107
256,Morton,86,0.000266
256,Tiled,86,0.000097
256,RowMajor,87,0.000086
256,ColMajor,87,0.000455
256,NumpyStrided,87,0.000107
256,Morton,87,0.000262
256,Tiled,87,0.000098
256,RowMajor,88,0.000097
256,ColMajor,88,0.000462
256,NumpyStrided,88,0.000111
256,Morton,88,0.000293
256,Tiled,88,0.000101
256,RowMajor,89,0.000085
256,ColMajor,89,0.000588
256,NumpyStrided,89,0.000108
256,Morton,89,0.000270
256,Tiled,89,0.000097
256,RowMajor,90,0.000093
256,ColMajor,90,0.000458
256,NumpyStrided,90,0.000109
256,Morton,90,0.000272
256,Tiled,90,0.000152
256,RowMajor,91,0.000085
256,ColMajor,91,0.000500
256,NumpyStrided,91,0.000105
256,Morton,91,0.000274
256,Tiled,91,0.000103
256,RowMajor,92,0.000092
256,ColMajor,92,0.000464
256,NumpyStrided,92,0.000154
256,Morton,92,0.000316
256,Tiled,92,0.000104
256,RowMajor,93,0.000086
256,ColMajor,93,0.000456
256,NumpyStrided,93,0.000106
256,Morton,93,0.000262
256,Tiled,93,0.000098
256,RowMajor,94,0.000086
256,ColMajor,94,0.000458
256,NumpyStrided,94,0.000110
256,Morton,94,0.000274
256,Tiled,94,0.000101
256,RowMajor,95,0.000087
256,ColMajor,95,0.000471
256,NumpyStrided,95,0.000110
256,Morton,95,0.000271
256,Tiled,95,0.000101
256,RowMajor,96,0.000087
256,ColMajor,96,0.000460
256,NumpyStrided,96,0.000109
256,Morton,96,0.000278
256,Tiled,96,0.000100
256,RowMajor,97,0.000094
256,ColMajor,97,0.000521
256,NumpyStrided,97,0.000159
256,Morton,97,0.000326
256,Tiled,97,0.000102
256,RowMajor,98,0.000088
256,ColMajor,98,0.000455
256,NumpyStrided,98,0.000109
256,Morton,98,0.000277
256,Tiled,98,0.000099
256,RowMajor,99,0.000086
256,ColMajor,99,0.000477
256,NumpyStrided,99,0.000108
256,Morton,99,0.000267
256,Tiled,99,0.000141
256,RowMajor,100,0.000086
256,ColMajor,100,0.000474
256,NumpyStrided,100,0.000128
256,Morton,100,0.000303
256,Tiled,100,0.000124
256,RowMajor,101,0.000092
256,ColMajor,101,0.000456
256,NumpyStrided,101,0.000108
256,Morton,101,0.000267
256,Tiled,101,0.000100
256,RowMajor,102,0.000093
256,ColMajor,102,0.000518
256,NumpyStrided,102,0.000122
256,Morton,102,0.000262
256,Tiled,102,0.000097
256,RowMajor,103,0.000086
256,ColMajor,103,0.000454
256,NumpyStrided,103,0.000106
256,Morton,103,0.000261
256,Tiled,103,0.000103
256,RowMajor,104,0.000086
256,ColMajor,104,0.000516
256,NumpyStrided,104,0.000165
256,Morton,104,0.000379
256,Tiled,104,0.000103
256,RowMajor,105,0.000087
256,ColMajor,105,0.000450
256,NumpyStrided,105,0.000105
256,Morton,105,0.000273
256,Tiled,105,0.000150
256,RowMajor,106,0.000146
256,ColMajor,106,0.000502
256,NumpyStrided,106,0.000108
256,Morton,106,0.000267
256,Tiled,106,0.000141
256,RowMajor,107,0.000089
256,ColMajor,107,0.000459
256,NumpyStrided,107,0.000108
256,Morton,107,0.000281
256,Tiled,107,0.000141
256,RowMajor,108,0.000091
256,ColMajor,108,0.000457
256,NumpyStrided,108,0.000107
256,Morton,108,0.000314
256,Tiled,108,0.000110
256,RowMajor,109,0.000094
256,ColMajor,109,0.000474
256,NumpyStrided,109,0.000110
256,Morton,109,0.000321
256,Tiled,109,0.000141
256,RowMajor,110,0.000087
256,ColMajor,110,0.000461
256,NumpyStrided,110,0.000115
256,Morton,110,0.000268
256,Tiled,110,0.000141
256,RowMajor,111,0.000123
256,ColMajor,111,0.000459
256,NumpyStrided,111,0.000127
256,Morton,111,0.000268
256,Tiled,111,0.000100
256,RowMajor,112,0.000086
256,ColMajor,112,0.000456
256,NumpyStrided,112,0.000110
256,Morton,112,0.000268
256,Tiled,112,0.000101
256,RowMajor,113,0.000087
256,ColMajor,113,0.000455
256,NumpyStrided,113,0.000115
256,Morton,113,0.000260
